Date,Home Team,Away Team,dSRS,Away Team Win Probability
,CLE,NYK,-9.540240946662522,0.14703495886211035
,GSW,SAS,-2.1711118960597267,0.4294189089700988
,POR,UTA,3.420399839601697,0.697216925826673
,BOS,BRK,-8.334546359443586,0.17991709580585624
,IND,DAL,0.14514735591613537,0.5446382044614435
,LAL,HOU,14.012686445190498,0.9503832708933404
,MEM,MIN,-0.23528766621482422,0.5257129137286245
,MIL,CHA,8.932587348538625,0.8739690520142955
,NOP,DEN,1.6220701863692075,0.6164279662960989
,ORL,MIA,8.743923464311518,0.8697539150166606
,PHI,OKC,15.577709749975288,0.9632275923899771
,PHX,SAC,1.4473823445823957,0.6081342767013881
,TOR,DET,-2.872125319516973,0.39545835759469267
,ATL,WAS,-3.288942901565745,0.3757120768379692
,CHI,BOS,2.587627999998502,0.6609488784264715
,POR,LAC,4.816933284942542,0.752759949727865
,SAC,SAS,11.552047760576997,0.9213193563855578
,BRK,IND,7.813177826331085,0.8471778167564201
,DAL,HOU,3.7442395437870086,0.7107126899934555
,DET,ORL,-4.363272776573998,0.3268086998127023
,MIA,CHA,0.47740612099776225,0.5610639654623524
,NOP,GSW,13.499450129112699,0.945312997800667
,OKC,PHX,-11.233084294777473,0.10942607971468471
,TOR,CLE,2.752651437779604,0.6683053332580813
,UTA,LAL,-12.386027451702924,0.08889473760573009
,CHI,IND,2.0662594668860006,0.6372046312738947
,CHA,BOS,-4.460358703883259,0.322551277318486
,CLE,ORL,-9.988049533870575,0.13615376563285134
,DEN,POR,2.7810222199749415,0.6695619389063078
,MIL,BRK,-3.8623177147882193,0.34922136459662984
,NYK,MEM,-1.1531114509002913,0.4798553378872943
,PHI,ATL,16.200909471076322,0.9673962822546716
,SAC,MIN,0.6042809890337191,0.5673030881919889
,SAS,NOP,-11.328338233052971,0.10758330942164362
,DET,MIL,-4.074530539803343,0.33963838510016703
,HOU,DAL,-3.7442395437870086,0.354607318303582
,LAC,UTA,-1.396533445340845,0.46771829497048845
,MEM,WAS,6.280390114481825,0.803146607827311
,MIA,SAS,1.2632527773246975,0.5993243176373144
,OKC,LAL,-14.124527628428131,0.06447046372911137
,PHX,GSW,15.170542001219118,0.9602318490524506
,ATL,SAC,-10.408901671296114,0.12655365496560358
,BRK,CHI,5.746918359445084,0.7857312377574072
,LAC,PHX,-10.891117563393113,0.11627133585159541
,TOR,DEN,-6.934489901138518,0.22497639868541472
,CLE,HOU,-1.8590602858539098,0.444773232702992
,DET,NYK,-3.915464189365944,0.34680957735897455
,IND,LAL,-10.123299545487354,0.13300345238715777
,MIA,SAC,-10.288794983252298,0.1292328266012507
,MIN,MEM,0.23528766621482422,0.5491055817398861
,NOP,MIL,1.60990422818741,0.615852488702471
,PHI,ORL,7.33687931872099,0.8344329113315169
,POR,GSW,9.096357722768548,0.8775328483637033
,SAS,UTA,-3.5048459871071254,0.36563957702626004
,ATL,LAL,-14.747727349529166,0.05734874279092626
,BOS,CHI,-2.587627999998502,0.4091390588772753
,BRK,DET,7.9368482545915615,0.8503526539801585
,CHA,PHI,-16.55820890403027,0.0406350024270239
,LAC,OKC,0.3419667313843622,0.5543823580217676
,MEM,NOP,-0.6158591277245176,0.5067066413593118
,NYK,HOU,7.681180660808611,0.8437285330855117
,PHX,POR,6.07418427845057,0.7965446889996844
,UTA,DAL,-2.1175805502994347,0.4320440996159018
,WAS,TOR,1.6603108453013835,0.6182347075801706
,CLE,BOS,-5.227078652444552,0.2899934764243305
,GSW,OKC,-3.937457706441645,0.3458137998219756
,MIL,IND,3.9508601115428656,0.719134403811434
,MIN,DEN,1.2414987248595142,0.5982790871137026
,ORL,SAC,-1.5448715189407807,0.46033991576955846
,BRK,CHA,12.794905063326844,0.9375545175349136
,CHI,NYK,-1.725534294219466,0.4513774291992314
,DAL,POR,-1.302819289302262,0.472387158930034
,LAL,GSW,18.061985334869775,0.9772992972690865
,MEM,LAC,8.604166563562174,0.8665546692486864
,NOP,PHX,-1.6710918721064214,0.45407520986831634
,TOR,MIA,1.508525368220548,0.6110445539243997
,UTA,SAS,3.5048459871071254,0.7007704142217843
,WAS,ATL,3.288942901565745,0.6916380640792995
,ATL,HOU,-0.7350409043386676,0.5007479542251563
,DET,DEN,-4.062364581621545,0.3401843241750305
,IND,CHI,-2.0662594668860006,0.43456448946847226
,MIL,SAC,-1.8336137557114358,0.4460303874778679
,OKC,MIN,-9.18142096116136,0.15626513026543867
,ORL,WAS,5.575087250789587,0.7798886245506093
,PHI,CLE,17.324928852591565,0.9737882417425201
,SAS,LAC,-2.1083125417662805,0.43249899727183383
,BOS,DEN,-4.460062686473569,0.3225642141227244
,DAL,MIL,-4.0960074674590015,0.33867566281452444
,LAL,PHX,2.891443333650657,0.6744296199910775
,MEM,POR,3.7872332786196314,0.7124773855017063
,NYK,UTA,6.054521667321037,0.7959066362874735
,TOR,SAC,-8.780269615031752,0.16713719550415196
,CHI,ORL,-2.17334288142752,0.4293095859621235
,CHA,IND,-4.98172723699576,0.30020004481742574
,GSW,NOP,-13.499450129112699,0.0724338738720057
,LAC,DET,-3.535590923295938,0.36421451802788124
,OKC,MIA,0.5030930330572208,0.5623287551956998
,PHI,UTA,13.83920957325008,0.9487214117959362
,WAS,HOU,2.5539019972270776,0.6594356725672365
,BRK,MIN,2.6329849481105025,0.6629787580384378
,CLE,ATL,-1.1240193815152422,0.4813077463403628
,LAL,DAL,10.26844690140349,0.9005803295573365
,MEM,DEN,1.00621105864469,0.5869187795785326
,POR,PHX,-6.07418427845057,0.2563862108489783
,SAC,NOP,0.22370952752402573,0.5485321936692994
,ATL,CHI,-6.690687270927812,0.23359221609213338
,CHA,UTA,-2.71899933078019,0.40280289593015933
,GSW,DAL,-7.793538433466287,0.1964379681187757
,IND,PHI,-11.57648166703451,0.10291046512694008
,LAC,POR,-4.816933284942542,0.3071692895352031
,NYK,BRK,-4.021384065225618,0.34202641548955875
,OKC,TOR,-1.0054323351633272,0.48723116015975027
,ORL,MIN,-0.9405905299070616,0.49047162719591175
,PHX,DET,7.355526640097175,0.8349475116458424
,SAS,HOU,-1.8781869936195514,0.44382876527156623
,WAS,BOS,-0.8141163693635651,0.4967942254605242
,DEN,GSW,11.87737994274349,0.9259085951337386
,MIA,CHI,-6.5705805828839985,0.2379201700298356
,MIL,NOP,-1.60990422818741,0.45711045000338507
,SAC,LAL,-4.338825678233053,0.32788530500933644
,BOS,NYK,-4.313162294217968,0.32901742416082336
,CHA,TOR,-1.9859314892183102,0.4385161678362948
,OKC,LAC,-0.3419667313843622,0.5203903486447299
,ORL,UTA,6.502330254529091,0.8100701493092206
,PHI,IND,11.57648166703451,0.9216728706086885
,POR,SAC,-4.626801933868174,0.3153206893179386
,SAS,DET,-5.643903465062218,0.27313378780140596
,WAS,CLE,4.412962283080987,0.7374181888359532
,ATL,PHI,-16.200909471076322,0.04351406378207894
,CHI,WAS,3.401744369362067,0.6964286923159067
,DEN,DET,4.062364581621545,0.7236166508824527
,HOU,SAS,1.8781869936195514,0.6284650309995233
,IND,BOS,0.5213685331125013,0.5632281247027788
,MIA,UTA,-2.241593209782428,0.42596855649195986
,MIL,MEM,-0.9940451004628925,0.4878001668733491
,MIN,LAC,8.839454229776997,0.8719030509510908
,NOP,LAL,-4.5625352057570785,0.3181022080898123
,PHX,BRK,-0.5813216144943878,0.5084331194822189
,TOR,NYK,-6.787589508882917,0.23014052425642073
,CLE,CHA,-0.7667199485612937,0.4991640033509634
,GSW,PHX,-15.170542001219118,0.052944755835650496
,MIN,LAL,-4.943106667266772,0.30182522653097715
,OKC,ORL,-8.240830431254299,0.18269920485172883
,POR,DEN,-2.7810222199749415,0.39982257251309516
,DET,OKC,3.8775576546803,0.7161637858516249
,HOU,PHI,-15.465868566737655,0.05006013435705172
,IND,ORL,-4.239602348313521,0.3322734476241545
,LAC,BRK,-11.4724391778875,0.10484743859723876
,NOP,BOS,6.082132872842777,0.7968021993737163
,NYK,DAL,3.936941117021602,0.7185717889475745
,SAS,MIA,-1.2632527773246975,0.47435987164190285
,UTA,MEM,-7.207633118221328,0.21559452602262746
,CLE,TOR,-2.752651437779604,0.40118493927412624
,LAL,BRK,2.3101217191562693,0.648402443864286
,MIA,ATL,0.12010668804381375,0.5433958749898035
,MIN,CHA,10.161920115216343,0.8986563988590611
,POR,CHI,-0.9085875334998741,0.4920712880043703
,ATL,MIL,-8.575287915584678,0.17292211420038395
,BOS,DAL,-0.37622117719636594,0.5186802425235169
,DEN,PHX,-3.293162058475629,0.37551417483480964
,IND,CLE,5.748447185557054,0.7857827111772256
,LAC,MEM,-8.604166563562174,0.17209762886492772
,NYK,DET,3.915464189365944,0.7177023337593706
,OKC,HOU,-0.11184118323763315,0.5318646966049481
,ORL,NOP,-1.321161991416755,0.4714729146098409
,PHI,WAS,12.911966569510577,0.9389112545564905
,SAC,SAS,11.552047760576997,0.9213193563855578
,TOR,GSW,4.942890041604972,0.757418463964564
,HOU,POR,-5.047058833089271,0.2974622591162715
,MIA,MIL,-8.455181227540864,0.17638468566660967
,MIN,PHI,-6.396288788813928,0.24429810509088629
,UTA,CHI,-4.328987373101571,0.3283190780851092
,WAS,NYK,-5.127278663581533,0.2941203469908122
,BOS,GSW,7.4173172562699206,0.8366435446280502
,CHA,ATL,-0.3572994329539485,0.5196249412709693
,CLE,DET,-5.624776757296576,0.27389389817412746
,DAL,MEM,-5.0900525679218935,0.2956684413003935
,DEN,TOR,6.934489901138518,0.8230133302686518
,IND,PHX,-7.231856211836697,0.2147763643593142
,LAL,SAS,15.89087343881005,0.965382821706057
,NOP,POR,4.403092406344149,0.7370357837570871
,OKC,BRK,-11.814405909271862,0.09859970375154332
,SAC,LAC,9.443735218810716,0.8848056224100994
,DET,BOS,0.3976981048520243,0.5571342656573995
,HOU,UTA,-1.626658993487574,0.4562789961370619
,LAC,CHI,-5.725520818442416,0.2699050894125349
,MEM,MIN,-0.23528766621482422,0.5257129137286245
,MIL,GSW,11.889545900925288,0.926075343739911
,NOP,CHA,10.542491576726036,0.9053810657334418
,ORL,DAL,4.384749704229656,0.7363241511069183
,PHI,PHX,4.344625455197813,0.7347631673546366
,WAS,MIA,3.1688362135219315,0.6864914724866092
,BRK,POR,6.655505892944958,0.8147388496140862
,DEN,UTA,6.201422059576638,0.8006376440117033
,LAL,CHI,8.057040078601354,0.8533859165355188
,NYK,ATL,8.416221565147278,0.8621477634022732
,OKC,IND,-4.001228082940777,0.34293419032439054
,SAC,TOR,8.780269615031752,0.8705751772269669
,CHA,MEM,-9.926632449001518,0.13760495852673924
,DET,HOU,3.765716471442667,0.7115950220072245
,IND,GSW,7.938685789382422,0.850399414328416
,LAC,TOR,-0.663465603778965,0.5043266118164506
,MIL,ORL,-0.28874223677065514,0.5230465459669035
,MIN,BOS,5.701561411333084,0.7842000415007677
,PHI,MIA,16.08080278303251,0.9666300662487746
,SAS,DAL,-5.62242653740656,0.27398738858915755
,WAS,PHX,-8.567341114312764,0.1731495427735955
,ATL,NOP,-10.185192143772088,0.13158251482348743
,DEN,CHI,1.8724346864750674,0.6281963623331998
,LAL,OKC,14.124527628428131,0.9514274798726816
,NYK,POR,2.63412182771934,0.6630295605596319
,BRK,BOS,8.334546359443586,0.8601948507213725
,CHA,SAS,0.7858466563269353,0.5761941770594694
,CLE,POR,-6.906119118943181,0.22596729972583982
,DAL,LAC,3.5141139956402796,0.7011589535580152
,DET,MIA,4.380650687737521,0.7361649547286281
,GSW,LAL,-18.061985334869775,0.030401295193039482
,HOU,TOR,-0.893591151925694,0.49282093580011016
,IND,ATL,4.624427804041812,0.7455249036166177
,NOP,MIN,0.38057146150969334,0.5562889502691342
,ORL,PHX,-2.9922538635231763,0.3897291717942103
,PHI,MEM,6.631576455028752,0.8140153819613309
,SAC,OKC,9.78570195019508,0.8915952522497299
,UTA,DEN,-6.201422059576638,0.2515647255582872
,BOS,SAS,5.246205360210194,0.7683897469216918
,CLE,DAL,-5.603299829640918,0.27474897654738
,DEN,OKC,7.939922236301845,0.8504308718198109
,DET,LAC,3.535590923295938,0.7020582091000576
,IND,BRK,-7.813177826331085,0.19581869131539098
,LAL,GSW,18.061985334869775,0.9772992972690865
,MEM,MIA,9.449226328003757,0.8849175109723411
,MIL,TOR,6.946655859320316,0.8233674762570614
,NYK,CHA,8.773520998101226,0.8704230223620344
,ORL,WAS,5.575087250789587,0.7798886245506093
,PHI,CHI,9.51022220014851,0.8861540350650915
,PHX,MIN,2.0516633336161147,0.6365295094476784
,POR,NOP,-4.403092406344149,0.32505902063654774
,SAC,HOU,9.673860766957446,0.8894142786725917
,UTA,ATL,2.3616998978262416,0.650750553146606
,CHA,NYK,-8.773520998101226,0.16732516459676192
,GSW,MIN,-13.118878667603004,0.07771716920890213
,MIA,MEM,-9.449226328003757,0.14933258974135874
,OKC,DET,-3.8775576546803,0.3485289798971452
,WAS,SAS,4.432088990846629,0.7381582266716002
,BRK,SAC,2.0287039590767835,0.6354664700988841
,DAL,NOP,-5.705911695646411,0.27067860679976163
,IND,LAC,3.659261351556415,0.707205909912936
,LAL,ATL,14.747727349529166,0.9568739922440881
,ORL,MIL,0.28874223677065514,0.5517511165847154
,PHI,CLE,17.324928852591565,0.9737882417425201
,PHX,DEN,3.293162058475629,0.691818002984102
,POR,HOU,5.047058833089271,0.7612258133411013
,GSW,ATL,-3.3142579853406104,0.3745252828902125
,MEM,CHA,9.926632449001518,0.8942896103453817
,MIA,BOS,-3.9829525828854964,0.34375826739927157
,MIN,UTA,7.4429207844361525,0.8373421913314038
,NYK,OKC,7.793021844046244,0.8466551768241729
,TOR,PHI,-14.57227741481196,0.05927543157660297
,WAS,SAC,-7.119958769730368,0.21857469545583597
,BRK,LAC,11.4724391778875,0.9201574212920438
,CHA,DET,-4.858056808735283,0.3054217196139014
,MIL,CLE,9.699307297099919,0.8899138539398057
,NOP,LAL,-4.5625352057570785,0.3181022080898123
,SAS,ORL,-10.007176241636216,0.13570447046854792
,UTA,HOU,1.626658993487574,0.6166449427635085
,BOS,DET,-0.3976981048520243,0.5176078106199874
,CHI,LAL,-8.057040078601354,0.1882520673376502
,DAL,SAS,5.62242653740656,0.7815095916792024
,DEN,MIA,8.443015269359066,0.8627834092879358
,MIN,NYK,1.3883991171151155,0.6053194958074496
,OKC,WAS,-2.6657431804647107,0.40536770934796107
,PHI,SAC,5.792007799780209,0.7872455560937022
,PHX,ATL,11.856284015878508,0.9256186305006018
,POR,IND,1.1576719333861267,0.5942431249736871
,TOR,MEM,-7.940700959783208,0.19183351571873933
,BRK,MIL,3.8623177147882193,0.715543803523343
,CHA,DAL,-4.836579881079625,0.30633370048392516
,CLE,LAC,-2.089185834000639,0.43343814428587474
,GSW,HOU,-4.049298889679278,0.34077111119365094
,MEM,ORL,0.7053028636922374,0.5722557588489994
,UTA,MIA,2.241593209782428,0.6452715438650599
,ATL,DET,-4.500757375781335,0.3207882960422271
,BOS,SAC,-6.305842400366803,0.24765311193915435
,CHI,CLE,7.814706652443054,0.8472173992326003
,DEN,HOU,7.828081053064212,0.8475633144434745
,NOP,LAC,9.22002569128669,0.8801662176947094
,NYK,MIN,-1.3883991171151155,0.46812333719396193
,PHI,ORL,7.33687931872099,0.8344329113315169
,SAS,WAS,-4.432088990846629,0.3237879688068701
,TOR,LAL,-13.119095293264804,0.07771406384107084
,CHA,MIN,-10.161920115216343,0.13211527965039532
,DAL,CHI,-2.211406822802136,0.4274454432148905
,GSW,PHX,-15.170542001219118,0.052944755835650496
,MEM,LAL,-5.178394333481596,0.2920023619084118
,MIL,BRK,-3.8623177147882193,0.34922136459662984
,PHI,BOS,12.097850200147011,0.9288772961637005
,POR,MIA,5.661993049384125,0.7828577962668193
,TOR,ATL,1.6286320562643617,0.6167382224922454
,UTA,DEN,-6.201422059576638,0.2515647255582872
,DET,ORL,-4.363272776573998,0.3268086998127023
,LAC,IND,-3.659261351556415,0.3585064977494206
,NYK,SAC,-1.9926801061488346,0.43818386692410566
,OKC,NOP,-9.561992422671054,0.14649020096837723
,ATL,OKC,-0.6231997211010345,0.5063396741777523
,BRK,WAS,9.148662728807151,0.8786526484442959
,CHI,POR,0.9085875334998741,0.5821772139025818
,DAL,CHA,4.836579881079625,0.7534905182683099
,GSW,IND,-7.938685789382422,0.19189600723044234
,HOU,BOS,-3.3680183665906425,0.37200996117823576
,LAL,UTA,12.386027451702924,0.9325920873439403
,MIL,SAS,9.71843400486556,0.8902880532944574
,NOP,MEM,0.6158591277245176,0.5678714171870082
,PHI,DEN,7.637787513673443,0.8425808332679963
,TOR,CLE,2.752651437779604,0.6683053332580813
,DET,CHI,-2.189929895146478,0.42849700408696345
,MEM,PHI,-6.631576455028752,0.23571536338974167
,MIA,NYK,-8.296114877103465,0.18105397670338363
,MIN,SAS,10.947766771543279,0.9121002826767293
,UTA,PHX,-9.494584118052266,0.14818387032024247
,WAS,ORL,-5.575087250789587,0.27587474323468186
,ATL,MIA,-0.12010668804381375,0.5314530782669062
,BRK,DEN,3.8744836729700167,0.7160387976143653
,CHA,DET,-4.858056808735283,0.3054217196139014
,DAL,SAC,-5.929621223170437,0.2619371788933756
,HOU,LAL,-14.012686445190498,0.06583279715779024
,LAC,GSW,4.279424437826007,0.7322140432690651
,MIL,POR,2.793188178156739,0.670100057231055
,NYK,CLE,9.540240946662522,0.8867583209064431
,ORL,BOS,4.760970881426022,0.7506710023470471
,PHX,IND,7.231856211836697,0.8315106049836162
,CHI,SAS,7.833833360208696,0.8477118943365156
,MEM,POR,3.7872332786196314,0.7124773855017063
,NOP,PHI,-6.015717327304235,0.2586219261877679
,TOR,MIN,-8.175988625998032,0.1846436169424386
,UTA,GSW,5.675957883166852,0.783332201688735
,WAS,DEN,-5.274179055837134,0.288057751340563
,BOS,TOR,2.4744272146649484,0.6558569851542538
,CHA,ORL,-9.221329585309281,0.15521565397693618
,CLE,MIA,-1.244126069559056,0.4753137845874359
,DAL,IND,-0.14514735591613537,0.5302058055354919
,LAL,PHX,2.891443333650657,0.6744296199910775
,MIL,ATL,8.575287915584678,0.8658853621667737
,MIN,DET,5.303863306481059,0.7704356340070838
,OKC,HOU,-0.11184118323763315,0.5318646966049481
,SAC,NYK,1.9926801061488346,0.6337958700957046
,CHI,MIA,6.5705805828839985,0.8121614169571861
,CLE,CHA,-0.7667199485612937,0.4991640033509634
,HOU,DAL,-3.7442395437870086,0.354607318303582
,IND,POR,-1.1576719333861267,0.47962768809711237
,LAC,NOP,-9.22002569128669,0.15524985134751612
,MEM,GSW,12.88359100138818,0.9385849356289303
,ORL,DEN,0.3009081949524526,0.5523528219095022
,SAS,BRK,-13.58075171965378,0.07134895515149901
,UTA,SAC,-8.047201773469872,0.18855293642801588
,WAS,MIL,-5.2863450140189325,0.287559008669697
,DET,PHI,-11.700152095294987,0.10064934002632359
,LAL,NYK,6.331505784381887,0.8047578995264488
,MIN,GSW,13.118878667603004,0.9412421530713446
,OKC,BOS,-3.4798595498282756,0.36679946061842317
,PHX,NOP,1.6710918721064214,0.6187434864595018
,DAL,DEN,-4.083841509277203,0.339220849327787
,HOU,BRK,-11.702564726034229,0.10060567063345172
,IND,CHA,4.98172723699576,0.7588427650622953
,LAC,POR,-4.816933284942542,0.3071692895352031
,MIA,WAS,-3.1688362135219315,0.38136294120490094
,SAC,LAL,-4.338825678233053,0.32788530500933644
,TOR,MIL,-6.946655859320316,0.22455242640488526
,ATL,ORL,-8.864030152355333,0.16481824776032059
,CHI,MIN,-3.113933411334582,0.3839568857243211
,CLE,MEM,-10.693352397562812,0.12039759031590194
,NOP,GSW,13.499450129112699,0.945312997800667
,PHX,NYK,3.4400624507312303,0.6980464584138842
,POR,OKC,5.158900016326904,0.7652677021368868
,BRK,LAL,-2.3101217191562693,0.42262069656419177
,DAL,DET,-0.02147692765565834,0.5363618467013508
,HOU,SAC,-9.673860766957446,0.14371486949275386
,MEM,CLE,10.693352397562812,0.9079343763148888
,MIA,IND,-4.504321115997998,0.3206330200829861
,ORL,LAC,7.898863699869936,0.8493833488975712
,PHI,TOR,14.57227741481196,0.9554025242420587
,SAS,BOS,-5.246205360210194,0.28920648226859647
,UTA,OKC,1.738500176725207,0.621918678932472
,WAS,CHA,3.6462423345196937,0.7066664607686715
,DEN,POR,2.7810222199749415,0.6695619389063078
,GSW,NYK,-11.730479550487889,0.10010162592142863
,MIL,CHI,1.8846006446568648,0.6287644949273741
,NOP,IND,5.560764339730276,0.77939648937415
,PHX,SAS,12.999430105159393,0.9399069123991332
,BOS,CHA,4.460358703883259,0.739249552012351
,CHI,MIL,-1.8846006446568648,0.44351215285595513
,HOU,NOP,-9.45015123943342,0.1493090925279197
,MEM,SAC,-0.8395686552485433,0.49552168699514276
,MIA,LAC,-0.8450597644415829,0.49524715493843635
,ORL,BRK,-3.573575478017564,0.3624571810678795
,PHI,LAL,1.4531821215471563,0.6084106674669888
,TOR,ATL,1.6286320562643617,0.6167382224922454
,UTA,DAL,-2.1175805502994347,0.4320440996159018
,WAS,DET,-1.2118144742155894,0.47692567769374844
,ATL,CHA,0.3572994329539485,0.5551397970802029
,CLE,LAL,-15.871746731044407,0.04633789420524512
,DEN,NYK,0.14690039225560136,0.5447251563074105
,DET,IND,-0.12367042826047703,0.53127559240357
,GSW,POR,-9.096357722768548,0.15852132503337335
,MIN,HOU,9.069579777923726,0.8769561241426872
,OKC,PHX,-11.233084294777473,0.10942607971468471
,DAL,SAC,-5.929621223170437,0.2619371788933756
,MEM,UTA,7.207633118221328,0.830830779919991
,MIA,BOS,-3.9829525828854964,0.34375826739927157
,ORL,TOR,7.235398096090971,0.8316098257849802
